Race ID,Year,Race Name,Avg pit stop time (ms)
1,2009,Australian Grand Prix,\N
2,2009,Malaysian Grand Prix,\N
3,2009,Chinese Grand Prix,\N
4,2009,Bahrain Grand Prix,\N
5,2009,Spanish Grand Prix,\N
6,2009,Monaco Grand Prix,\N
7,2009,Turkish Grand Prix,\N
8,2009,British Grand Prix,\N
9,2009,German Grand Prix,\N
10,2009,Hungarian Grand Prix,\N
11,2009,European Grand Prix,\N
12,2009,Belgian Grand Prix,\N
13,2009,Italian Grand Prix,\N
14,2009,Singapore Grand Prix,\N
15,2009,Japanese Grand Prix,\N
16,2009,Brazilian Grand Prix,\N
17,2009,Abu Dhabi Grand Prix,\N
18,2008,Australian Grand Prix,\N
19,2008,Malaysian Grand Prix,\N
20,2008,Bahrain Grand Prix,\N
21,2008,Spanish Grand Prix,\N
22,2008,Turkish Grand Prix,\N
23,2008,Monaco Grand Prix,\N
24,2008,Canadian Grand Prix,\N
25,2008,French Grand Prix,\N
26,2008,British Grand Prix,\N
27,2008,German Grand Prix,\N
28,2008,Hungarian Grand Prix,\N
29,2008,European Grand Prix,\N
30,2008,Belgian Grand Prix,\N
31,2008,Italian Grand Prix,\N
32,2008,Singapore Grand Prix,\N
33,2008,Japanese Grand Prix,\N
34,2008,Chinese Grand Prix,\N
35,2008,Brazilian Grand Prix,\N
36,2007,Australian Grand Prix,\N
37,2007,Malaysian Grand Prix,\N
38,2007,Bahrain Grand Prix,\N
39,2007,Spanish Grand Prix,\N
40,2007,Monaco Grand Prix,\N
41,2007,Canadian Grand Prix,\N
42,2007,United States Grand Prix,\N
43,2007,French Grand Prix,\N
44,2007,British Grand Prix,\N
45,2007,European Grand Prix,\N
46,2007,Hungarian Grand Prix,\N
47,2007,Turkish Grand Prix,\N
48,2007,Italian Grand Prix,\N
49,2007,Belgian Grand Prix,\N
50,2007,Japanese Grand Prix,\N
51,2007,Chinese Grand Prix,\N
52,2007,Brazilian Grand Prix,\N
53,2006,Bahrain Grand Prix,\N
54,2006,Malaysian Grand Prix,\N
55,2006,Australian Grand Prix,\N
56,2006,San Marino Grand Prix,\N
57,2006,European Grand Prix,\N
58,2006,Spanish Grand Prix,\N
59,2006,Monaco Grand Prix,\N
60,2006,British Grand Prix,\N
61,2006,Canadian Grand Prix,\N
62,2006,United States Grand Prix,\N
63,2006,French Grand Prix,\N
64,2006,German Grand Prix,\N
65,2006,Hungarian Grand Prix,\N
66,2006,Turkish Grand Prix,\N
67,2006,Italian Grand Prix,\N
68,2006,Chinese Grand Prix,\N
69,2006,Japanese Grand Prix,\N
70,2006,Brazilian Grand Prix,\N
71,2005,Australian Grand Prix,\N
72,2005,Malaysian Grand Prix,\N
73,2005,Bahrain Grand Prix,\N
74,2005,San Marino Grand Prix,\N
75,2005,Spanish Grand Prix,\N
76,2005,Monaco Grand Prix,\N
77,2005,European Grand Prix,\N
78,2005,Canadian Grand Prix,\N
79,2005,United States Grand Prix,\N
80,2005,French Grand Prix,\N
81,2005,British Grand Prix,\N
82,2005,German Grand Prix,\N
83,2005,Hungarian Grand Prix,\N
84,2005,Turkish Grand Prix,\N
85,2005,Italian Grand Prix,\N
86,2005,Belgian Grand Prix,\N
87,2005,Brazilian Grand Prix,\N
88,2005,Japanese Grand Prix,\N
89,2005,Chinese Grand Prix,\N
90,2004,Australian Grand Prix,\N
91,2004,Malaysian Grand Prix,\N
92,2004,Bahrain Grand Prix,\N
93,2004,San Marino Grand Prix,\N
94,2004,Spanish Grand Prix,\N
95,2004,Monaco Grand Prix,\N
96,2004,European Grand Prix,\N
97,2004,Canadian Grand Prix,\N
98,2004,United States Grand Prix,\N
99,2004,French Grand Prix,\N
100,2004,British Grand Prix,\N
101,2004,German Grand Prix,\N
102,2004,Hungarian Grand Prix,\N
103,2004,Belgian Grand Prix,\N
104,2004,Italian Grand Prix,\N
105,2004,Chinese Grand Prix,\N
106,2004,Japanese Grand Prix,\N
107,2004,Brazilian Grand Prix,\N
108,2003,Australian Grand Prix,\N
109,2003,Malaysian Grand Prix,\N
110,2003,Brazilian Grand Prix,\N
111,2003,San Marino Grand Prix,\N
112,2003,Spanish Grand Prix,\N
113,2003,Austrian Grand Prix,\N
114,2003,Monaco Grand Prix,\N
115,2003,Canadian Grand Prix,\N
116,2003,European Grand Prix,\N
117,2003,French Grand Prix,\N
118,2003,British Grand Prix,\N
119,2003,German Grand Prix,\N
120,2003,Hungarian Grand Prix,\N
121,2003,Italian Grand Prix,\N
122,2003,United States Grand Prix,\N
123,2003,Japanese Grand Prix,\N
124,2002,Australian Grand Prix,\N
125,2002,Malaysian Grand Prix,\N
126,2002,Brazilian Grand Prix,\N
127,2002,San Marino Grand Prix,\N
128,2002,Spanish Grand Prix,\N
129,2002,Austrian Grand Prix,\N
130,2002,Monaco Grand Prix,\N
131,2002,Canadian Grand Prix,\N
132,2002,European Grand Prix,\N
133,2002,British Grand Prix,\N
134,2002,French Grand Prix,\N
135,2002,German Grand Prix,\N
136,2002,Hungarian Grand Prix,\N
137,2002,Belgian Grand Prix,\N
138,2002,Italian Grand Prix,\N
139,2002,United States Grand Prix,\N
140,2002,Japanese Grand Prix,\N
141,2001,Australian Grand Prix,\N
142,2001,Malaysian Grand Prix,\N
143,2001,Brazilian Grand Prix,\N
144,2001,San Marino Grand Prix,\N
145,2001,Spanish Grand Prix,\N
146,2001,Austrian Grand Prix,\N
147,2001,Monaco Grand Prix,\N
148,2001,Canadian Grand Prix,\N
149,2001,European Grand Prix,\N
150,2001,French Grand Prix,\N
151,2001,British Grand Prix,\N
152,2001,German Grand Prix,\N
153,2001,Hungarian Grand Prix,\N
154,2001,Belgian Grand Prix,\N
155,2001,Italian Grand Prix,\N
156,2001,United States Grand Prix,\N
157,2001,Japanese Grand Prix,\N
158,2000,Australian Grand Prix,\N
159,2000,Brazilian Grand Prix,\N
160,2000,San Marino Grand Prix,\N
161,2000,British Grand Prix,\N
162,2000,Spanish Grand Prix,\N
163,2000,European Grand Prix,\N
164,2000,Monaco Grand Prix,\N
165,2000,Canadian Grand Prix,\N
166,2000,French Grand Prix,\N
167,2000,Austrian Grand Prix,\N
168,2000,German Grand Prix,\N
169,2000,Hungarian Grand Prix,\N
170,2000,Belgian Grand Prix,\N
171,2000,Italian Grand Prix,\N
172,2000,United States Grand Prix,\N
173,2000,Japanese Grand Prix,\N
174,2000,Malaysian Grand Prix,\N
175,1999,Australian Grand Prix,\N
176,1999,Brazilian Grand Prix,\N
177,1999,San Marino Grand Prix,\N
178,1999,Monaco Grand Prix,\N
179,1999,Spanish Grand Prix,\N
180,1999,Canadian Grand Prix,\N
181,1999,French Grand Prix,\N
182,1999,British Grand Prix,\N
183,1999,Austrian Grand Prix,\N
184,1999,German Grand Prix,\N
185,1999,Hungarian Grand Prix,\N
186,1999,Belgian Grand Prix,\N
187,1999,Italian Grand Prix,\N
188,1999,European Grand Prix,\N
189,1999,Malaysian Grand Prix,\N
190,1999,Japanese Grand Prix,\N
191,1998,Australian Grand Prix,\N
192,1998,Brazilian Grand Prix,\N
193,1998,Argentine Grand Prix,\N
194,1998,San Marino Grand Prix,\N
195,1998,Spanish Grand Prix,\N
196,1998,Monaco Grand Prix,\N
197,1998,Canadian Grand Prix,\N
198,1998,French Grand Prix,\N
199,1998,British Grand Prix,\N
200,1998,Austrian Grand Prix,\N
201,1998,German Grand Prix,\N
202,1998,Hungarian Grand Prix,\N
203,1998,Belgian Grand Prix,\N
204,1998,Italian Grand Prix,\N
205,1998,Luxembourg Grand Prix,\N
206,1998,Japanese Grand Prix,\N
207,1997,Australian Grand Prix,\N
208,1997,Brazilian Grand Prix,\N
209,1997,Argentine Grand Prix,\N
210,1997,San Marino Grand Prix,\N
211,1997,Monaco Grand Prix,\N
212,1997,Spanish Grand Prix,\N
213,1997,Canadian Grand Prix,\N
214,1997,French Grand Prix,\N
215,1997,British Grand Prix,\N
216,1997,German Grand Prix,\N
217,1997,Hungarian Grand Prix,\N
218,1997,Belgian Grand Prix,\N
219,1997,Italian Grand Prix,\N
220,1997,Austrian Grand Prix,\N
221,1997,Luxembourg Grand Prix,\N
222,1997,Japanese Grand Prix,\N
223,1997,European Grand Prix,\N
224,1996,Australian Grand Prix,\N
225,1996,Brazilian Grand Prix,\N
226,1996,Argentine Grand Prix,\N
227,1996,European Grand Prix,\N
228,1996,San Marino Grand Prix,\N
229,1996,Monaco Grand Prix,\N
230,1996,Spanish Grand Prix,\N
231,1996,Canadian Grand Prix,\N
232,1996,French Grand Prix,\N
233,1996,British Grand Prix,\N
234,1996,German Grand Prix,\N
235,1996,Hungarian Grand Prix,\N
236,1996,Belgian Grand Prix,\N
237,1996,Italian Grand Prix,\N
238,1996,Portuguese Grand Prix,\N
239,1996,Japanese Grand Prix,\N
240,1995,Brazilian Grand Prix,\N
241,1995,Argentine Grand Prix,\N
242,1995,San Marino Grand Prix,\N
243,1995,Spanish Grand Prix,\N
244,1995,Monaco Grand Prix,\N
245,1995,Canadian Grand Prix,\N
246,1995,French Grand Prix,\N
247,1995,British Grand Prix,\N
248,1995,German Grand Prix,\N
249,1995,Hungarian Grand Prix,\N
250,1995,Belgian Grand Prix,\N
251,1995,Italian Grand Prix,\N
252,1995,Portuguese Grand Prix,\N
253,1995,European Grand Prix,\N
254,1995,Pacific Grand Prix,\N
255,1995,Japanese Grand Prix,\N
256,1995,Australian Grand Prix,\N
257,1994,Brazilian Grand Prix,\N
258,1994,Pacific Grand Prix,\N
259,1994,San Marino Grand Prix,\N
260,1994,Monaco Grand Prix,\N
261,1994,Spanish Grand Prix,\N
262,1994,Canadian Grand Prix,\N
263,1994,French Grand Prix,\N
264,1994,British Grand Prix,\N
265,1994,German Grand Prix,\N
266,1994,Hungarian Grand Prix,\N
267,1994,Belgian Grand Prix,\N
268,1994,Italian Grand Prix,\N
269,1994,Portuguese Grand Prix,\N
270,1994,European Grand Prix,\N
271,1994,Japanese Grand Prix,\N
272,1994,Australian Grand Prix,\N
273,1993,South African Grand Prix,\N
